Atlanta United FC,Atlanta,Atlanta United,Atlanta United F.C.,
Chicago Fire,Chicago,Fire,,
Columbus Crew SC,Columbus,Columbus Crew,,
D.C. United,DC United,,,
Montreal Impact,Impact,Montreal,,
New England Revolution,NE Revolution,Revolution,New England,
New York City FC,NYCFC,New York City,,
New York Red Bulls,NYRB,New York RB,New York,
Orlando City SC,Orlando,Orlando City,,
Philadelphia Union,Philadelphia,,,
Toronto FC,Toronto,,,
Colorado Rapids,Colorado,,,
FC Dallas,Dallas,,,
Houston Dynamo,Houston,Dynamo,,
LA Galaxy,LA,Galaxy,Los Angeles Galaxy,
Los Angeles FC,LAFC,,,
Minnesota United FC,,Minnesota,Minnesota United,
Portland Timbers,,Portland,Timbers,
Real Salt Lake,,,,
San Jose Earthquakes,,San Jose,SJ Earthquakes,
Seattle Sounders FC,,Seattle,Sounders,Seattle Sounders
Sporting Kansas City,,Kansas,Sporting KC,
Vancouver Whitecaps FC,Vancouver,Whitecaps,Vancouver Whitecaps,
